"BradleyFletcher","EU","Taxon","VernacularName","UtilityGroup","NaturalFamily","Posture","ForewingShape","ForewingLength","Texture","ForewingColour","Basal","Basal_Stigmata","Antemedian","Antemedian_Stigmata","Median","Median_Stigmata","Postmedian","Postmedian_Stigmata","Terminal","Terminal_Stigmata","Apical","Apical_Stigmata","Subapical","Subapical_Stigmata","Tornal","Tornal_Stigmata","Subtornal","Subtornal_Stigmata","Costal","Costal_Stigmata","Subcostal","Subcostal_Stigmata","Medial","Medial_Stigmata","Subdorsal","Subdorsal_Stigmata","Dorsal","Dorsal_Stigmata","OtherFeatures"
50,,"Stigmella aurella",,"Micro","Nepticulidae","Wings_flat","Narrow","[2-3]","Shiny","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross band golden edged with blue/black"
175,,"Narycia monilifera ",,"Micro","Psychidae","Wings_rolled | Wings_tentlike","Narrow","[4-6]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scattered pale yellow dots | Scattered pale yellow dots may form cross band"
181,,"Taleporia tubulosa",,"Micro","Psychidae","Wings_rolled","Narrow","[7-10]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,"Psychoides filicivora",,"Micro","Tineidae","Wings_rolled | Wings_tentlike","Narrow","[4-6]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,"Triaxomera parasitella",,"Micro","Tineidae","Wings_rolled | Wings_tentlike","Narrow","[7-11]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,"Lyonetia clerkella",,"Micro","Lyonetiidae","Wings_rolled","Narrow","[4-4.5]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,"Caloptilia populetorum",,"Micro","Gracillariidea","Wings_rolled","Narrow","[6-7.5]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dark spot beyond one third."
282,,"Caloptilia elongella",,"Micro","Gracillariidea","Wings_rolled","Narrow","[7-8.5]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Obscure pale blotch"
283,,"Caloptilia betulicola",,"Micro","Gracillariidea","Wings_rolled","Narrow","[7-8.5]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pale blotch"
284,,"Caloptilia rufipennella",,"Micro","Gracillariidea","Wings_rolled","Very_narrow","[5-6]","Glossy","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fore wing glossy"
288,,"Caloptilia stigmatella",,"Micro","Gracillariidea","Wings_rolled","Very_narrow","[6-7]","Matte","Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extension to blotch narrowing towards dorsum. Pale yellow triangular blotch | whitish triangular blotch"
"#0303",,"Parornix anglicella ",,"Micro","Gracillariidea",,"Narrow","[4-4.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Needs gen. Det."
321,,"Phyllonorycter messaniella",,"Micro","Gracillariidea","Wings_rolled","Narrow","[3-4.5]","Shiny","Yellow-Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black dot in apex. Four whitish streaks inwardly edged Orange"
